table_type,horizon,variable,n_countries,mean_value,std_error
rmse_abm,1,Real GDP,21,-27.663157894736838,7.388315457121236
rmse_abm,1,GDP Deflator Growth,21,-10.426315789473685,4.292621454720199
rmse_abm,1,Real Consumption,21,-29.163157894736845,4.295143527929602
rmse_abm,1,Real Investment,21,-1.9105263157894732,3.8055891086851212
rmse_abm,1,Euribor,21,-86.1263157894737,0.704739266010008
rmse_abm,2,Real GDP,21,-29.173684210526314,6.439365602517136
rmse_abm,2,GDP Deflator Growth,21,-10.821052631578947,4.303884950766778
rmse_abm,2,Real Consumption,21,-28.378947368421056,5.722146261078917
rmse_abm,2,Real Investment,21,-1.1000000000000005,3.9599825742424795
rmse_abm,2,Euribor,21,-42.62105263157895,0.7367376701261776
rmse_abm,4,Real GDP,21,-33.81578947368422,7.95666355462604
rmse_abm,4,GDP Deflator Growth,21,-11.584210526315788,5.956947210418533
rmse_abm,4,Real Consumption,21,-70.06315789473685,24.718856843642865
rmse_abm,4,Real Investment,21,-0.7,5.132159811179439
rmse_abm,4,Euribor,21,-19.73157894736842,0.6097671222419178
rmse_abm,8,Real GDP,21,-29.799999999999997,9.584768008552828
rmse_abm,8,GDP Deflator Growth,21,-10.368421052631579,4.657660812839504
rmse_abm,8,Real Consumption,21,-65.48947368421052,26.960332453588222
rmse_abm,8,Real Investment,21,-0.5052631578947357,8.031343837813314
rmse_abm,8,Euribor,21,-8.868421052631579,0.6388976540675649
rmse_abm,12,Real GDP,21,-28.610526315789475,10.98021318388482
rmse_abm,12,GDP Deflator Growth,21,-10.731578947368419,5.511323020876494
rmse_abm,12,Real Consumption,21,-69.3157894736842,30.310338559252102
rmse_abm,12,Real Investment,21,-4.168421052631578,10.099635372468525
rmse_abm,12,Euribor,21,-3.1526315789473682,0.48812617131832303
rmse_validation_abm,1,Real GDP,21,-14.263157894736842,7.20679183609395
rmse_validation_abm,1,GDP Deflator Growth,21,10.25263157894737,10.948946832904484
rmse_validation_abm,1,Real Gov Consumption,21,-29.726315789473688,9.356390198683217
rmse_validation_abm,1,Real Exports,21,-12.415789473684208,4.339976440755137
rmse_validation_abm,1,Real Imports,21,-0.5315789473684213,3.4053110619658966
rmse_validation_abm,1,Real GDP (EA),21,-12.278947368421052,2.415563316759262
rmse_validation_abm,1,GDP Deflator Growth (EA),21,59.194736842105264,0.4957405520865443
rmse_validation_abm,1,Euribor,21,-51.231578947368426,4.394201739317771
rmse_validation_abm,2,Real GDP,21,-8.24736842105263,7.4982741422504855
rmse_validation_abm,2,GDP Deflator Growth,21,-0.9789473684210508,9.551478189838326
rmse_validation_abm,2,Real Gov Consumption,21,-29.373684210526317,10.031724071285703
rmse_validation_abm,2,Real Exports,21,-1.421052631578947,6.583288158616352
rmse_validation_abm,2,Real Imports,21,5.310526315789472,4.841969868435043
rmse_validation_abm,2,Real GDP (EA),21,-2.8947368421052633,2.1148247778910436
rmse_validation_abm,2,GDP Deflator Growth (EA),21,54.98947368421052,0.47158403819307293
