Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,1.8799999999999997,0.524,1.5,4.3580000000000005,0.134
be,1.2399999999999998,0.34,1.5059999999999998,4.71,0.132
bg,2.526,2.872,3.228,4.228,0.132
cy,6.992,1.2959999999999998,8.908,44.26800000000001,0.132
cz,2.664,1.39,2.5100000000000002,5.074,0.132
de,1.578,0.27,2.018,3.4900000000000007,0.134
dk,2.5479999999999996,0.598,3.504,6.601999999999999,0.132
ee,2.8579999999999997,0.982,4.626,14.453999999999999,0.134
el,6.144,0.808,6.394,19.348,0.132
es,3.122,0.608,3.54,7.0200000000000005,0.134
fi,2.5420000000000003,0.364,2.32,5.84,0.132
fr,1.306,0.22599999999999998,1.464,2.942,0.13000000000000003
hr,2.728,0.958,3.7660000000000005,7.078,0.12600000000000003
hu,3.036,2.08,4.217999999999999,12.006,0.13000000000000003
ie,11.322,1.6179999999999999,4.258,49.082,0.132
it,1.8960000000000001,0.36800000000000005,2.128,6.288000000000001,0.132
lt,2.98,1.18,3.718,8.346,0.134
lv,1.8259999999999998,1.038,3.468,12.294,0.134
nl,1.874,0.506,2.534,18.927999999999997,0.132
pl,3.132,2.108,2.966,7.030000000000001,0.134
pt,2.7439999999999998,0.5900000000000001,3.5839999999999996,11.142000000000001,0.132
ro,4.2,2.366,7.378,6.148000000000001,0.132
se,2.3739999999999997,1.702,2.644,5.744,0.132
si,3.4939999999999998,0.8140000000000001,4.093999999999999,7.496,0.132
sk,2.164,1.1,3.5,9.644,0.132
