Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,-29.04,-0.2,-5.88,-12.52,-31.76000000000001
be,-15.479999999999999,-1.5,-75.97999999999999,-25.6,-32.040000000000006
bg,-26.639999999999997,-23.080000000000002,-25.220000000000002,69.88000000000001,-30.940000000000005
cy,-14.48,0.12000000000000006,-31.7,-6.6,-30.939999999999998
cz,-15.26,-2.2800000000000002,-14.0,-5.78,-31.54
de,-25.4,-1.9799999999999998,-91.97999999999999,-1.5200000000000005,-30.18
dk,-66.42,-1.72,-75.38,-24.240000000000002,-31.120000000000005
ee,-34.38,-5.68,-155.94,-1.4599999999999997,-32.68
el,0.24000000000000005,-2.9999999999999996,-3.84,0.25999999999999995,-31.68
es,-66.67999999999999,-1.3599999999999999,7.280000000000001,-16.9,-31.860000000000003
fi,7.9,-0.58,1.0000000000000007,0.14000000000000004,-30.380000000000003
fr,-14.179999999999998,-0.86,1.7599999999999987,-12.78,-30.119999999999997
hr,-30.54,0.7400000000000002,-55.0,-22.119999999999997,-231.1
hu,-29.659999999999997,-1.14,-39.7,-4.46,-30.98
ie,-28.279999999999994,-0.4,-26.95999999999999,-10.120000000000001,-31.24
it,-10.299999999999999,-1.18,-4.0200000000000005,3.7599999999999993,-32.46
lt,-88.36,-3.06,-121.2,-33.660000000000004,-30.9
lv,8.879999999999999,-7.62,-15.680000000000003,8.74,-32.06
nl,-19.44,-0.96,-50.3,36.22,-30.879999999999995
pl,-31.860000000000003,-4.24,-17.4,-3.3200000000000003,-32.14
pt,-1.5999999999999992,-1.2,1.5800000000000005,3.5,-29.939999999999998
ro,-16.94,-5.299999999999999,-10.780000000000001,16.02,-31.020000000000003
se,-25.78,-1.78,-76.22,-25.02,-30.880000000000003
si,-10.559999999999999,-2.14,-2.9400000000000004,2.68,-31.880000000000003
sk,-0.4,-6.16,-12.499999999999998,-3.3200000000000003,-31.940000000000005
