Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,0.0001599999999999999,-0.00366,0.0018400000000000003,-0.0191,0.00078
be,0.0016399999999999997,-0.00244,-0.00528,-0.01738,0.00078
bg,0.0009400000000000002,0.01222,-0.007479999999999999,0.019459999999999998,0.00078
cz,0.00476,0.00436,-0.00020000000000000004,0.00386,0.00078
de,-0.00438,-0.00252,-0.012740000000000001,-0.01764,0.0008200000000000001
dk,-0.008660000000000001,-0.00262,-0.02022,-0.0373,0.0008
ee,0.00668,-0.0024800000000000004,-0.02042,-0.03782,0.00078
el,0.0279,0.00152,0.021920000000000002,0.07862,0.0008
es,0.00032000000000000013,0.0024999999999999996,0.00608,-0.0043,0.00078
fi,0.00818,-0.00682,-0.0024599999999999995,-0.00356,0.00078
fr,0.00108,-0.00056,-7.999999999999995e-5,-0.00504,0.0008
hr,-0.0034200000000000003,-0.0014,-0.01454,-0.03284,0.00086
hu,-0.00608,0.004739999999999999,-0.012879999999999999,-0.049839999999999995,0.00078
ie,-0.03728,-0.011399999999999999,-0.0019600000000000004,-0.17322,0.00078
it,0.006379999999999999,0.00138,0.00556,0.01644,0.0008
lt,-0.0006399999999999999,-8.000000000000003e-5,-0.016599999999999997,-0.038779999999999995,0.0008
lv,0.01676,0.00052,-0.00844,0.009840000000000002,0.00078
nl,0.0017799999999999997,-0.00015999999999999999,-0.006259999999999999,-0.018819999999999996,0.00078
pl,-0.007680000000000001,0.0005399999999999999,-0.00308,-0.0164,0.00078
pt,0.00912,0.0016,0.00426,0.01358,0.00078
ro,-0.01296,0.0044399999999999995,-0.03116,0.0014200000000000003,0.00078
se,-0.00194,0.00028000000000000003,-0.00954,-0.01812,0.00078
si,0.014280000000000001,-0.0016799999999999999,0.00756,0.021840000000000002,0.00078
sk,0.01914,0.00712,0.00842,0.0257,0.00078
