Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,1.3719999999999999,0.668,1.208,3.504,0.10400000000000001
be,0.93,0.446,0.958,4.162,0.10400000000000001
bg,1.734,2.782,2.822,4.35,0.10400000000000001
cy,Inf,2.694,Inf,42.152,0.10800000000000001
cz,2.552,1.3820000000000001,2.3,4.858,0.10400000000000001
de,1.266,0.346,1.544,3.19,0.10800000000000001
dk,1.6320000000000001,0.7140000000000001,2.626,5.712000000000001,0.10400000000000001
ee,2.188,1.012,2.6339999999999995,13.318000000000001,0.10400000000000001
el,6.3740000000000006,0.642,6.45,19.5,0.10600000000000001
es,2.702,0.5599999999999999,3.2439999999999998,6.540000000000001,0.10600000000000001
fi,2.4539999999999997,0.8400000000000001,1.64,5.496,0.10400000000000001
fr,0.8960000000000001,0.22200000000000003,1.042,2.5100000000000002,0.10600000000000001
hr,1.594,1.056,2.848,5.798,0.09
hu,2.4219999999999997,2.08,3.418,11.354000000000001,0.10400000000000001
ie,8.708000000000002,2.088,3.028,47.37,0.10600000000000001
it,1.972,0.324,2.188,6.274,0.10800000000000001
lt,1.616,1.026,2.188,6.9959999999999996,0.10600000000000001
lv,2.4400000000000004,0.93,2.472,12.366,0.10400000000000001
nl,1.718,0.492,1.8739999999999999,18.7,0.10600000000000001
pl,2.182,2.038,2.5140000000000002,6.354,0.10400000000000001
pt,2.9300000000000006,0.5640000000000001,3.684,11.324000000000002,0.10400000000000001
ro,3.5580000000000007,2.206,7.098000000000001,6.138,0.10400000000000001
se,1.668,1.636,1.67,4.898000000000001,0.10400000000000001
si,3.6479999999999997,0.8400000000000001,3.846,7.764,0.10400000000000001
sk,2.4619999999999997,0.868,3.306,9.692,0.10400000000000001
