Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,2.0599999999999996,-29.220000000000006,15.34,6.92,-11.1
be,8.76,-33.379999999999995,-17.7,-12.079999999999998,-11.020000000000001
bg,-4.919999999999999,-18.9,-10.040000000000001,68.58,-11.52
cz,-4.26,-1.7,0.5000000000000002,1.7399999999999998,-10.579999999999998
de,-2.56,-32.06,-47.0,6.140000000000001,-13.179999999999998
dk,-10.959999999999999,-20.24,-31.579999999999995,-9.919999999999998,-11.180000000000001
ee,-8.459999999999999,-8.9,-49.94,5.92,-10.620000000000001
el,0.25999999999999995,18.2,-1.46,-0.2200000000000001,-11.960000000000004
es,-7.56,7.26,23.599999999999998,-4.14,-11.540000000000001
fi,6.9,-134.04000000000002,26.74,6.340000000000001,-10.840000000000002
fr,13.180000000000001,7.105427357601002e-16,25.040000000000003,3.4200000000000004,-12.48
hr,13.52,-9.4,-18.86,-3.22,-169.04000000000002
hu,0.6199999999999999,-0.7799999999999998,-4.64,0.9399999999999998,-11.539999999999997
ie,-2.64,-29.8,8.32,-6.739999999999999,-11.54
it,0.25999999999999995,11.32,5.14,7.279999999999999,-12.080000000000002
lt,-10.440000000000001,9.940000000000001,-29.1,-13.180000000000001,-11.419999999999998
lv,-15.8,3.62,14.84,8.540000000000001,-10.919999999999996
nl,-3.7600000000000002,2.04,-6.640000000000001,36.82000000000001,-11.719999999999999
pl,3.2800000000000002,-0.7400000000000002,2.04,5.0600000000000005,-11.580000000000002
pt,3.7600000000000002,3.54,7.8,3.9800000000000004,-11.299999999999999
ro,-2.34,2.04,-6.220000000000001,15.860000000000003,-11.380000000000003
se,4.4,2.6,-17.52,-8.7,-10.959999999999999
si,-10.66,-5.359999999999999,9.78,0.11999999999999995,-10.420000000000002
sk,-16.7,15.88,-3.4199999999999995,-3.7,-10.9
