Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,23.740000000000002,-28.4,19.96,16.8,17.619999999999997
be,21.12,-31.18,31.1,10.14,18.04
bg,14.8,3.06,12.3,-3.8400000000000007,16.9
cz,9.22,0.5799999999999998,12.5,6.839999999999999,18.060000000000002
de,17.880000000000003,-29.559999999999995,23.0,7.62,15.0
dk,31.939999999999998,-18.48,24.86,11.04,17.259999999999998
ee,18.54,-3.0,40.24,7.12,18.7
el,-0.38000000000000006,20.46,2.04,-0.5,17.0
es,29.340000000000003,8.52,16.72,10.760000000000002,17.380000000000003
fi,-0.41999999999999993,-132.08,27.2,6.159999999999999,17.080000000000002
fr,23.94,1.0,24.660000000000004,14.220000000000002,15.460000000000003
hr,31.3,-10.48,23.759999999999998,14.48,23.7
hu,22.740000000000002,0.27999999999999997,23.98,5.139999999999999,16.880000000000003
ie,18.919999999999998,-29.4,28.619999999999997,3.12,17.080000000000002
it,6.36,12.319999999999999,6.380000000000001,3.4599999999999995,17.28
lt,39.8,12.26,41.3,14.8,16.78
lv,-28.6,9.86,27.160000000000004,-0.3,18.1
nl,12.559999999999999,2.96,28.339999999999996,1.2000000000000002,16.68
pl,25.34,3.3199999999999994,16.419999999999998,7.919999999999999,17.54
pt,1.8599999999999994,4.66,4.319999999999999,0.29999999999999993,16.419999999999998
ro,11.66,6.640000000000001,4.119999999999999,0.08000000000000003,17.1
se,21.52,4.220000000000001,31.580000000000002,12.040000000000001,17.259999999999998
si,-0.5799999999999997,-3.1799999999999997,11.52,-2.6599999999999997,18.32
sk,-16.48,21.0,7.640000000000001,-0.36,17.98
