Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
cy,-0.05234,0.00532,-0.08524000000000001,-0.049260000000000005,0.00116
si,-0.008379999999999999,0.0015,-0.01948,0.007300000000000001,0.00116
nl,-0.01964,0.00126,-0.0446,-0.04396,0.0010999999999999998
sk,0.007520000000000001,0.01026,0.00186,0.015560000000000001,0.00112
at,-0.013000000000000001,-0.00088,-0.00818,-0.03142,0.00112
pt,-0.00918,0.0023,-0.020900000000000002,-0.00546,0.00116
cz,-0.004960000000000001,0.0047,-0.006039999999999999,-0.0057599999999999995,0.0010999999999999998
ee,-0.0219,0.00424,-0.04744,-0.06534,0.0011799999999999998
it,0.0006399999999999999,0.0022600000000000003,-0.0038599999999999997,0.01004,0.00108
dk,-0.029279999999999994,0.00276,-0.043320000000000004,-0.058800000000000005,0.00118
fi,-0.013319999999999999,-0.00018,-0.01564,-0.023060000000000004,0.0010999999999999998
lv,-0.01472,0.005560000000000001,-0.03382,-0.024319999999999998,0.0012000000000000001
se,-0.01746,0.0036999999999999997,-0.02334,-0.03654,0.00112
es,-0.01316,0.0036200000000000004,-0.01348,-0.018840000000000003,0.00112
be,-0.01704,-4.0e-5,-0.032220000000000006,-0.038,0.00112
bg,-0.02246,0.02268,-0.02544,-0.006559999999999999,0.00112
ro,-0.0324,0.01104,-0.04642,0.001200000000000001,0.00114
el,0.0338,0.0054,0.03386,0.08174000000000001,0.00118
hu,-0.025619999999999997,0.005860000000000001,-0.03736,-0.07022,0.0010999999999999998
