Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
cy,-26.060000000000002,-1.6400000000000001,-52.160000000000004,-7.760000000000001,-33.08
si,-10.9,-5.0600000000000005,-1.7200000000000002,0.78,-31.22
nl,-45.339999999999996,-3.3,-151.1,35.839999999999996,-30.059999999999995
sk,6.5200000000000005,-21.22,-7.0,-2.92,-34.66
at,-33.88,-0.45999999999999996,-11.120000000000001,-13.36,-33.239999999999995
pt,-0.5000000000000014,-1.78,-2.4999999999999996,4.84,-34.22
cz,-11.84,-1.9,-12.4,-3.7800000000000002,-31.04
ee,-45.959999999999994,-9.780000000000001,-176.54000000000002,-2.66,-32.239999999999995
it,0.5999999999999985,-5.76,9.239999999999998,8.72,-28.78000000000001
dk,-104.53999999999999,-1.48,-125.11999999999998,-36.86,-34.96
fi,9.28,-8.059999999999999,4.72,1.5000000000000002,-28.7
lv,-19.14,-20.86,-30.96,8.0,-34.5
se,-30.32,-3.38,-80.38,-30.3,-32.08
es,-71.39999999999999,-2.02,9.7,-16.86,-30.2
be,-55.839999999999996,-0.7000000000000001,-258.6,-44.14,-33.68
bg,-61.879999999999995,-91.82000000000001,-38.08,70.9,-31.639999999999997
ro,-25.740000000000002,-14.959999999999999,-15.560000000000002,2.4199999999999995,-33.34
el,-0.4,-4.18,-7.019999999999999,0.7,-32.980000000000004
hu,-39.1,-6.58,-50.56,-6.92,-29.28
