Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,0.0018000000000000002,-0.0007199999999999999,-0.00722,-0.019579999999999997,0.00206
be,-0.00126,-6.000000000000001e-5,-0.01718,-0.02198,0.00204
bg,-0.01354,0.020799999999999996,-0.02022,0.02088,0.0021000000000000003
cy,-0.0168,0.00532,-0.04948,-0.00776,0.00208
cz,0.007639999999999999,0.00568,-0.007160000000000001,0.00566,0.00208
de,-0.00224,-0.0015399999999999997,-0.01892,-0.01584,0.00204
dk,-0.014079999999999999,0.00272,-0.033479999999999996,-0.0431,0.00206
ee,-0.021060000000000002,0.00426,-0.05412,-0.06674,0.00206
el,0.045840000000000006,0.005620000000000001,0.03246,0.095,0.00212
es,0.00486,0.0037600000000000003,0.00114,-0.0004,0.00206
fi,-0.0004999999999999998,-0.00017999999999999998,-0.01814,-0.01212,0.00208
fr,-0.0049,0.00108,-0.01164,-0.011000000000000001,0.00212
hr,-0.018459999999999997,0.00218,-0.0252,-0.04654,0.00218
hu,-0.01092,0.0065400000000000015,-0.02794,-0.05262,0.00206
ie,-0.052739999999999995,-0.00030000000000000003,-0.028239999999999998,-0.18144,0.00206
it,0.01124,0.0023,0.00368,0.02064,0.0021
lt,-0.019819999999999997,0.0077,-0.03676,-0.054720000000000005,0.00206
lv,-0.00866,0.0058000000000000005,-0.027639999999999998,-0.01452,0.00206
nl,-0.00434,0.00122,-0.02222,-0.02332,0.00208
pl,-0.005699999999999999,0.004680000000000001,-0.01158,-0.01766,0.00204
pt,-0.00031999999999999997,0.00226,-0.005979999999999999,0.005939999999999999,0.00204
ro,-0.02278,0.01172,-0.03936,-0.005019999999999999,0.00206
se,-0.00952,0.0029400000000000003,-0.025119999999999996,-0.02744,0.00206
si,-0.0026999999999999997,0.00146,-0.01204,0.006,0.00206
sk,0.011680000000000001,0.009899999999999999,-0.00566,0.018459999999999997,0.00208
