Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,1.5859999999999999,0.52,1.56,3.5300000000000002,0.21599999999999997
be,0.984,0.338,1.8380000000000003,4.33,0.21399999999999997
bg,2.4059999999999997,3.1919999999999997,3.22,6.294,0.21799999999999997
cy,7.116,1.298,8.644,44.762,0.21799999999999997
cz,2.752,1.4140000000000001,2.622,5.029999999999999,0.21999999999999997
de,1.35,0.262,2.104,3.056,0.21399999999999997
dk,1.8699999999999999,0.5940000000000001,3.7359999999999998,6.029999999999999,0.21599999999999997
ee,2.744,0.9380000000000001,5.618,14.310000000000002,0.21599999999999997
el,6.959999999999999,0.7939999999999999,6.540000000000001,19.836000000000002,0.22199999999999998
es,3.068,0.608,3.5200000000000005,6.7780000000000005,0.21799999999999997
fi,2.37,0.358,2.378,5.632000000000001,0.21799999999999997
fr,1.024,0.22400000000000003,1.5420000000000003,2.724,0.21999999999999997
hr,2.4400000000000004,0.9940000000000001,3.53,6.782000000000001,0.21999999999999997
hu,2.722,2.106,4.2700000000000005,11.584,0.21999999999999997
ie,9.462,1.636,4.247999999999999,46.844,0.21799999999999997
it,2.3,0.366,2.09,6.492,0.21799999999999997
lt,2.4560000000000004,1.2079999999999997,3.906,7.824,0.21799999999999997
lv,1.834,1.0260000000000002,3.4939999999999998,12.212,0.21599999999999997
nl,1.832,0.5039999999999999,2.872,18.753999999999998,0.21599999999999997
pl,2.068,2.0780000000000003,2.7960000000000003,6.367999999999999,0.21199999999999997
pt,2.758,0.5820000000000001,3.5460000000000003,11.136,0.21199999999999997
ro,4.104,2.3880000000000003,7.4719999999999995,6.128,0.21599999999999997
se,1.9720000000000002,1.716,2.8240000000000003,5.36,0.21799999999999997
si,3.4520000000000004,0.796,4.078,7.498,0.21999999999999997
sk,1.9600000000000002,1.0939999999999999,3.314,9.488000000000001,0.21799999999999997
