Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,-11.5,0.9800000000000001,-19.259999999999998,2.2800000000000002,-83.34
be,0.9000000000000007,-0.9,-120.0,-17.240000000000002,-82.46
bg,-21.32,-36.940000000000005,-23.419999999999998,64.7,-85.7
cy,-18.18,0.12000000000000004,-27.54,-7.56,-83.53999999999999
cz,-19.08,-4.0200000000000005,-30.939999999999998,-5.6,-85.9
de,-12.44,-0.07999999999999989,-113.52000000000001,6.5200000000000005,-82.55999999999999
dk,-33.18,-0.74,-89.14,-16.759999999999998,-84.08
ee,-28.76,-1.2599999999999998,-209.98000000000002,-0.49999999999999983,-81.82000000000001
el,-8.059999999999999,-0.76,-3.3,-1.5000000000000002,-86.6
es,-66.06,-0.9799999999999999,7.0200000000000005,-14.439999999999998,-84.6
fi,11.32,1.22,-7.260000000000001,2.5799999999999996,-84.92
fr,3.3800000000000012,-0.7000000000000001,-8.219999999999999,-7.880000000000001,-85.64
hr,-20.46,-3.12,-48.54,-17.72,-383.38
hu,-19.8,-2.2,-46.78000000000001,-1.8199999999999998,-84.96000000000001
ie,-12.399999999999999,-1.6800000000000002,-52.160000000000004,-5.5,-83.7
it,-25.5,-0.9199999999999999,-1.0599999999999994,2.38,-85.58000000000001
lt,-60.94,-5.66,-135.78000000000003,-26.68,-84.02
lv,9.6,-6.5,-16.04,9.08,-83.4
nl,-17.080000000000002,-0.5199999999999999,-66.78,36.58,-84.53999999999999
pl,0.5800000000000001,-3.1,-20.3,4.08,-82.06
pt,-1.679999999999999,0.22000000000000003,2.88,3.78,-82.68
ro,-12.8,-6.260000000000001,-11.819999999999999,16.419999999999998,-83.58
se,-10.02,-2.3400000000000003,-94.84,-18.5,-85.43999999999998
si,-9.379999999999999,-0.15999999999999998,-4.220000000000001,2.8,-83.97999999999999
sk,4.0,-5.42,-13.219999999999999,-1.9000000000000004,-84.1
