Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
at,12.979999999999999,1.04,-11.38,12.3,-46.54
be,14.6,0.5799999999999998,-27.02,5.5,-45.36
bg,3.8400000000000007,-11.5,1.06,-30.6,-50.0
cy,-3.16,-0.019999999999999973,3.4200000000000004,-1.0399999999999998,-48.22
cz,-3.2600000000000002,-1.7200000000000002,-14.120000000000001,0.2,-48.92
de,9.559999999999999,1.8199999999999998,-10.8,8.3,-47.28
dk,17.9,0.9399999999999998,-8.18,5.4,-48.2
ee,3.9599999999999995,4.08,-20.3,0.9000000000000001,-44.06
el,-8.86,2.1599999999999997,0.2999999999999998,-1.7799999999999998,-49.44
es,0.6399999999999999,0.38,-0.2200000000000001,2.16,-47.260000000000005
fi,4.1,1.78,-6.36,2.46,-49.260000000000005
fr,15.460000000000003,0.13999999999999996,-9.32,4.4,-51.260000000000005
hr,7.040000000000001,-4.0200000000000005,4.56,3.2399999999999998,-60.8
hu,7.8,-1.1199999999999999,-4.340000000000001,2.5,-49.92
ie,11.040000000000001,-1.3,-11.079999999999998,4.12,-47.7
it,-15.6,0.2000000000000001,2.6599999999999997,-1.5400000000000003,-47.739999999999995
lt,12.76,-2.54,-7.3,4.54,-47.6
lv,0.15999999999999978,0.6999999999999998,-0.4000000000000001,0.5,-46.239999999999995
nl,1.98,0.36000000000000004,-11.040000000000001,0.8800000000000001,-48.94
pl,21.54,0.9800000000000004,-1.8399999999999999,6.92,-44.86
pt,-0.22000000000000003,1.4,1.3000000000000003,0.26,-47.760000000000005
ro,3.78,-1.08,-0.9400000000000001,0.16000000000000014,-48.08
se,10.72,-0.6400000000000002,-12.540000000000001,4.2,-49.2
si,0.9800000000000001,1.9400000000000002,-1.06,0.12000000000000002,-47.14
sk,4.58,0.6599999999999999,0.3400000000000002,1.4200000000000002,-47.660000000000004
