Country,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
cy,6.44,1.3000000000000003,6.924000000000001,42.236000000000004,0.11200000000000002
si,3.2620000000000005,0.7940000000000002,4.218,7.754,0.11200000000000002
nl,1.6460000000000001,0.502,1.7299999999999998,45.61,0.11200000000000002
sk,2.13,1.04,3.382,9.332,0.11200000000000002
lt,1.452,1.144,1.6079999999999999,6.016,0.11200000000000002
at,1.436,0.526,1.496,3.7640000000000002,0.11200000000000002
pt,3.16,0.5820000000000001,4.0200000000000005,12.117999999999999,0.11200000000000002
cz,2.382,1.36,2.2840000000000003,4.946,0.11200000000000002
ee,2.05,0.924,1.714,14.12,0.11200000000000002
it,1.986,0.36599999999999994,2.322,6.74,0.11200000000000002
dk,1.402,0.588,1.86,5.098000000000001,0.11200000000000002
fi,2.962,0.364,2.6380000000000003,5.924000000000001,0.11200000000000002
lv,2.1,0.962,3.1380000000000003,14.046000000000001,0.11200000000000002
pl,2.146,2.02,2.596,6.772,0.11200000000000002
se,1.782,1.6759999999999997,1.3519999999999999,4.442,0.11200000000000002
es,2.408,0.6020000000000001,3.9799999999999995,6.0840000000000005,0.11200000000000002
be,1.108,0.336,0.78,3.6659999999999995,0.11200000000000002
bg,1.864,2.336,2.726,18.119999999999997,0.11200000000000002
ro,3.46,2.246,6.5840000000000005,7.85,0.11200000000000002
el,6.4399999999999995,0.786,6.368,19.366000000000003,0.11200000000000002
hu,2.41,2.06,3.308,11.376,0.11200000000000002
