,losses_samp,batch_num_samp,method_samp,params_samp_0,params_samp_1,params_samp_2
0,2.861617308567799,0,0,0.92,0.43,0.6900000000000001
1,2.885199693104575,0,0,0.23,0.76,0.89
2,2.716821420513277,0,0,0.78,0.21,0.13
3,2.884539611258887,0,0,0.51,0.54,0.33
4,3.160000080048543,0,0,1.06,0.88,0.53
5,2.6477902635852355,1,1,0.8,0.07,0.11
6,2.674317763206615,1,1,0.5,0.12,0.12
7,2.9413475369541358,1,1,0.84,0.24,0.41000000000000003
8,2.7842096333251667,1,1,0.43,0.0,0.22
9,2.9000500335670627,1,1,0.74,0.2,0.29
10,2.780071653393893,2,2,0.45999999999999996,0.0,0.19
11,2.7075486044414743,2,2,0.48,0.06999999999999999,0.15
12,2.670527072062988,2,2,0.8,0.11000000000000001,0.14
13,2.663853874638518,2,2,0.79,0.05,0.09
14,3.1707558825914397,2,2,0.93,0.43,0.6900000000000001
15,2.7280116222305417,3,0,0.06,0.32,0.73
16,2.862251109534812,3,0,0.61,0.65,0.93
17,2.8576199230542136,3,0,0.34,0.99,0.17
18,2.8328205703401643,3,0,0.89,0.04,0.37
19,2.762363728226977,3,0,0.2,0.37,0.5700000000000001
20,2.7264045784761652,4,1,0.45,0.81,0.04
21,2.6263187993364103,4,1,0.66,0.36,0.09
22,2.678508806304222,4,1,0.51,0.56,0.1
23,2.6456095323935043,4,1,0.0,0.14,0.06
24,2.617499878500783,4,1,0.77,0.24,0.04
25,2.4977133719102755,5,2,0.04,0.09000000000000001,0.019999999999999997
26,2.593462464639995,5,2,0.03,0.19,0.06
27,2.623276454314784,5,2,0.78,0.030000000000000002,0.08
28,2.650105127807728,5,2,0.02,0.12000000000000001,0.06999999999999999
29,2.7435725696948987,5,2,0.75,0.04,0.12
30,3.127687200515128,6,0,0.75,0.7000000000000001,0.77
31,3.0221653048791697,6,0,0.47000000000000003,0.15,0.97
32,2.82080326507061,6,0,1.02,0.48,0.02
33,2.7928007814185465,6,0,0.13,0.81,0.22
34,2.8074957881242235,6,0,0.68,0.26,0.42
35,2.5895418769061362,7,1,0.09,0.02,0.08
36,2.729732822727338,7,1,0.47000000000000003,0.2,0.06
37,2.546556172285114,7,1,0.81,0.37,0.02
38,2.7417625781070822,7,1,0.75,0.54,0.05
39,2.566894842404492,7,1,0.17,0.1,0.03
40,2.478513871712586,8,2,0.11,0.0,0.08
41,2.5069905291638315,8,2,0.04,0.08000000000000002,0.019999999999999997
42,2.5632886972429803,8,2,0.8300000000000001,0.4,0.06
43,2.6129577765615344,8,2,0.0,0.11000000000000001,0.03
44,2.5425036671174404,8,2,0.010000000000000002,0.11000000000000001,0.0
45,2.8826950847507105,9,0,0.4,0.59,0.62
46,3.159109941980056,9,0,0.9500000000000001,0.93,0.8200000000000001
47,2.4987239638329646,9,0,0.27,0.07,0.06
48,2.840696201699212,9,0,0.8200000000000001,0.41000000000000003,0.26
